de;65;NCMS
el;36;DET
.;29;PUNT
y;26;NCMS
que;26;CONJ
la;26;DET
los;22;NCMS
del;21;NCMS
,;19;NCMS
en;19;PREP
se;15;NCMS
a;15;PREP
motor;10;NCMS
las;10;NCMS
para;9;PREP
un;8;NCMS
una;8;NCFS
al;8;NCMS
es;7;NCMS
con;7;NCMS
su;6;NCMS
forma;5;NCFS
o;5;NCMS
aceite;4;NCMS
bomba;4;NCFS
sistema;4;NCFS
como;4;NCMS
seguridad;4;NCMS
asiento;4;NCMS
filtro;3;NCMS
funcionamiento;3;NCMS
todo;3;NCMS
circuito;3;NCMS
colector;3;NCMS
hacia;3;NCFS
culata;3;NCFS
freno;3;NCMS
son;3;NCMS
combustible;3;NCMS
no;3;NCMS
uno;3;NCMS
plazas;3;NCMS
caso;3;NCMS
